timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-13T00:00:04.121695+00:00,25.46,68.31,1020.41,19.19
2026-09-13T00:15:04.141546+00:00,25.07,69.26,1020.41,19.04
2026-09-13T00:30:04.117789+00:00,24.79,70.41,1020.38,19.04
2026-09-13T00:45:04.118047+00:00,24.85,70.74,1020.24,19.17
2026-09-13T01:00:04.102290+00:00,24.8,70.64,1020.22,19.1
2026-09-13T01:15:04.110444+00:00,24.52,71.67,1020.24,19.06
2026-09-13T01:30:03.352629+00:00,24.27,72.21,1020.2,18.94
2026-09-13T01:45:04.133132+00:00,24.03,72.79,1020.07,18.84
2026-09-13T02:00:04.136176+00:00,23.82,73.47,1020.11,18.79
2026-09-13T02:15:04.111340+00:00,23.68,73.82,1020.09,18.73
2026-09-13T02:30:04.154953+00:00,23.56,74.13,1020.17,18.68
2026-09-13T02:45:04.117977+00:00,23.4,74.52,1020.1,18.61
2026-09-13T03:00:04.115944+00:00,23.33,75.09,1020.1,18.67
2026-09-13T03:15:04.114483+00:00,23.22,75.27,1019.99,18.59
2026-09-13T03:30:04.093203+00:00,23.09,75.72,1020.0,18.56
2026-09-13T03:45:04.116581+00:00,23.11,75.85,1020.09,18.62
2026-09-13T04:00:04.127687+00:00,23.11,75.52,1020.14,18.54
2026-09-13T04:15:04.119329+00:00,23.13,75.54,1020.07,18.57
2026-09-13T04:30:04.102529+00:00,22.99,75.7,1019.94,18.47
2026-09-13T04:45:04.141399+00:00,22.83,76.19,1019.97,18.41
2026-09-13T05:00:04.150228+00:00,22.7,76.72,1019.98,18.4
2026-09-13T05:15:04.093021+00:00,22.57,77.2,1020.07,18.37
2026-09-13T05:30:04.106063+00:00,22.49,77.78,1020.03,18.42
2026-09-13T05:45:04.122882+00:00,22.41,77.91,1020.18,18.36
2026-09-13T06:00:04.110606+00:00,22.42,78.24,1020.29,18.44
2026-09-13T06:15:04.156698+00:00,22.45,78.53,1020.38,18.53
2026-09-13T06:30:04.133733+00:00,22.67,78.27,1020.53,18.69
2026-09-13T06:45:04.159973+00:00,22.89,77.62,1020.65,18.77
2026-09-13T07:00:04.119288+00:00,23.23,77.0,1020.74,18.97
2026-09-13T07:15:04.128289+00:00,23.62,76.1,1020.85,19.15
2026-09-13T07:30:04.134582+00:00,24.0,74.71,1020.84,19.23
2026-09-13T07:45:04.111903+00:00,24.4,73.26,1020.98,19.3
2026-09-13T08:00:04.131995+00:00,24.77,71.32,1021.02,19.23
2026-09-13T08:15:04.129712+00:00,25.16,70.22,1021.16,19.35
2026-09-13T08:30:04.141364+00:00,25.64,68.37,1021.26,19.38
2026-09-13T08:45:04.117069+00:00,26.54,65.23,1021.55,19.48
2026-09-13T09:00:04.110880+00:00,27.8,61.94,1021.56,19.84
2026-09-13T09:15:04.111064+00:00,28.35,60.29,1021.51,19.92
2026-09-13T09:30:04.147481+00:00,28.93,58.54,1021.7,19.98
2026-09-13T09:45:04.145881+00:00,29.21,54.26,1021.75,19.02
2026-09-13T10:00:04.090173+00:00,31.81,51.72,1021.68,20.65
2026-09-13T10:15:04.121983+00:00,34.52,43.61,1021.5,20.35
2026-09-13T10:30:04.125110+00:00,35.74,41.39,1021.59,20.6
2026-09-13T10:45:04.127494+00:00,39.62,36.24,1021.5,21.87
2026-09-13T11:00:04.116135+00:00,38.59,37.98,1021.42,21.72
2026-09-13T11:15:04.125932+00:00,38.79,36.12,1021.41,21.08
2026-09-13T11:30:04.155000+00:00,40.26,35.85,1021.13,22.25
2026-09-13T11:45:04.126702+00:00,42.51,32.85,1020.99,22.77
