timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-20T00:00:09.320534+00:00,22.57,78.37,1020.95,18.62
2026-09-20T00:15:29.341507+00:00,22.5,78.2,1021.0,18.51
2026-09-20T00:30:09.326607+00:00,22.52,78.15,1021.03,18.52
2026-09-20T00:45:29.332873+00:00,22.5,77.5,1021.0,18.36
2026-09-20T01:00:09.332685+00:00,22.47,76.78,1020.93,18.19
2026-09-20T01:15:09.315213+00:00,22.45,75.25,1020.82,17.85
2026-09-20T01:30:09.342587+00:00,22.19,75.07,1020.79,17.56
2026-09-20T01:45:29.344773+00:00,22.07,75.27,1020.67,17.48
2026-09-20T02:00:09.303742+00:00,21.96,75.35,1020.52,17.4
2026-09-20T02:15:29.342369+00:00,22.09,74.59,1020.48,17.36
2026-09-20T02:30:09.320398+00:00,21.88,74.9,1020.46,17.23
2026-09-20T02:45:29.333117+00:00,21.83,74.5,1020.53,17.1
2026-09-20T03:00:09.303209+00:00,21.77,74.3,1020.43,16.99
2026-09-20T03:15:19.343063+00:00,21.73,74.36,1020.42,16.96
2026-09-20T03:30:09.298938+00:00,21.65,74.85,1020.37,17.0
2026-09-20T03:45:29.331585+00:00,21.66,75.09,1020.45,17.05
2026-09-20T04:00:09.310530+00:00,21.58,75.65,1020.53,17.09
2026-09-20T04:15:29.282125+00:00,21.51,76.27,1020.57,17.15
2026-09-20T04:30:09.302850+00:00,21.45,76.77,1020.69,17.2
2026-09-20T04:45:29.344023+00:00,21.36,77.12,1020.74,17.19
2026-09-20T05:00:09.344343+00:00,21.31,77.46,1020.71,17.21
2026-09-20T05:15:29.374777+00:00,21.24,77.83,1020.86,17.21
2026-09-20T05:30:09.316653+00:00,21.23,77.97,1020.92,17.24
2026-09-20T05:45:29.335693+00:00,21.33,77.46,1021.05,17.23
2026-09-20T06:00:09.314526+00:00,21.4,77.34,1021.26,17.26
2026-09-20T06:15:29.369929+00:00,21.39,77.08,1021.46,17.2
